,Unnamed: 0.1,Unnamed: 0,DEF_TEAM,OPP_CODE,YEAR,WEEK,SCORE_OPP,PASSING_CMP,PASSING_ATT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_SK,PASSING_Y_A,PASSING_NY_A,PASSING_CMP_PCT,PASSING_RATE,RUSHING_ATT,RUSHING_YDS,RUSHING_Y_A,RUSHING_TD
243,243,3,GNB,BUF,2018,4.0,0.0,16.0,33.0,87.0,0.0,2.0,7.0,4.6,2.2,48.5,29.7,16.0,58.0,3.6,0.0
244,244,4,GNB,DET,2018,5.0,31.0,14.0,26.0,170.0,2.0,0.0,3.0,7.0,5.9,53.8,99.8,28.0,94.0,3.4,2.0
245,245,5,GNB,SFO,2018,6.0,30.0,16.0,23.0,227.0,2.0,1.0,2.0,10.7,9.1,69.6,112.0,30.0,174.0,5.8,1.0
246,246,6,GNB,LAR,2018,8.0,29.0,20.0,36.0,281.0,3.0,0.0,5.0,8.5,6.9,55.6,108.7,34.0,135.0,4.0,0.0
247,247,7,GNB,NWE,2018,9.0,31.0,23.0,36.0,310.0,1.0,0.0,2.0,9.2,8.2,63.9,100.5,31.0,123.0,4.0,3.0
248,248,8,GNB,MIA,2018,10.0,12.0,23.0,37.0,163.0,0.0,1.0,6.0,5.8,3.8,62.2,61.0,23.0,131.0,5.7,0.0
249,249,9,GNB,SEA,2018,11.0,27.0,21.0,31.0,205.0,2.0,0.0,3.0,7.3,6.0,67.7,107.6,35.0,173.0,4.9,1.0
250,250,10,GNB,MIN,2018,12.0,24.0,29.0,38.0,325.0,3.0,0.0,2.0,9.0,8.1,76.3,127.6,29.0,91.0,3.1,0.0
251,251,11,GNB,ARI,2018,13.0,20.0,11.0,26.0,133.0,0.0,0.0,2.0,5.7,4.8,42.3,58.7,29.0,182.0,6.3,2.0
252,252,12,GNB,ATL,2018,14.0,20.0,28.0,42.0,237.0,3.0,1.0,2.0,6.2,5.4,66.7,95.0,24.0,107.0,4.5,0.0
253,253,13,GNB,CHI,2018,15.0,24.0,20.0,28.0,232.0,2.0,0.0,1.0,8.4,8.0,71.4,119.9,29.0,100.0,3.4,1.0
254,254,14,GNB,NYJ,2018,16.0,38.0,24.0,35.0,323.0,3.0,0.0,2.0,9.7,8.7,68.6,126.2,20.0,47.0,2.4,1.0
255,255,15,GNB,DET,2018,17.0,31.0,21.0,33.0,272.0,3.0,0.0,1.0,8.3,8.0,63.6,119.8,38.0,130.0,3.4,1.0
